conversion_id,User ID,conversion_timestamp,revenue,status
CONV_00000,40804,2025-02-10 00:01:11,271.6,Completed
CONV_00001,12797,2025-02-10 00:04:44,620.18,Completed
CONV_00002,36355,2025-02-10 00:19:26,487.86,Completed
CONV_00003,18572,2025-02-10 00:27:06,407.19,Completed
CONV_00004,41638,2025-02-10 00:33:31,139.39,Completed
CONV_00005,98881,2025-02-10 00:34:52,139.38,Completed
CONV_00006,79404,2025-02-10 00:36:23,80.14,Completed
CONV_00007,61985,2025-02-10 00:39:35,569.04,Completed
CONV_00008,95840,2025-02-10 00:41:34,408.67,Completed
CONV_00009,32562,2025-02-10 00:42:10,473.38,Completed
CONV_00010,59232,2025-02-10 00:43:11,57.45,Completed
CONV_00011,67455,2025-02-10 00:44:30,631.8,Completed
CONV_00012,20685,2025-02-10 00:45:54,548.63,Completed
CONV_00013,56553,2025-02-10 00:45:54,173.47,Completed
CONV_00014,96671,2025-02-10 00:48:21,155.0,Completed
CONV_00015,55427,2025-02-10 00:48:51,155.96,Completed
CONV_00016,83919,2025-02-10 00:50:56,229.07,Completed
CONV_00017,11835,2025-02-10 00:51:05,362.48,Completed
CONV_00018,21567,2025-02-10 00:53:39,306.33,Completed
CONV_00019,51068,2025-02-10 00:59:01,221.19,Completed
CONV_00020,29461,2025-02-10 00:59:07,415.17,Completed
CONV_00021,31324,2025-02-10 01:00:08,129.39,Completed
CONV_00022,45202,2025-02-10 01:04:44,221.75,Completed
CONV_00023,50653,2025-02-10 01:05:44,266.65,Completed
CONV_00024,40264,2025-02-10 01:08:49,320.92,Completed
CONV_00025,69217,2025-02-10 01:09:31,520.03,Completed
CONV_00026,11503,2025-02-10 01:13:04,165.8,Completed
CONV_00027,46862,2025-02-10 01:14:07,356.11,Completed
CONV_00028,73264,2025-02-10 01:16:02,403.41,Completed
CONV_00029,30582,2025-02-10 01:23:01,73.1,Completed
CONV_00030,48574,2025-02-10 01:25:01,412.56,Completed
CONV_00031,49847,2025-02-10 01:25:35,148.17,Completed
CONV_00032,59480,2025-02-10 01:27:06,84.36,Completed
CONV_00033,85576,2025-02-10 01:30:34,619.08,Completed
CONV_00034,15582,2025-02-10 01:35:02,629.21,Completed
CONV_00035,17737,2025-02-10 01:44:57,534.08,Completed
CONV_00036,13116,2025-02-10 01:45:02,229.29,Completed
CONV_00037,74104,2025-02-10 01:45:08,104.09,Completed
CONV_00038,82058,2025-02-10 01:46:23,458.96,Completed
CONV_00039,61022,2025-02-10 01:51:28,311.29,Completed
CONV_00040,82427,2025-02-10 02:03:39,118.83,Completed
CONV_00041,46180,2025-02-10 02:04:47,344.58,Completed
CONV_00042,71927,2025-02-10 02:05:36,65.81,Completed
CONV_00043,56666,2025-02-10 02:14:55,595.14,Completed
CONV_00044,36126,2025-02-10 02:15:47,201.56,Completed
CONV_00045,84470,2025-02-10 02:16:42,445.83,Completed
CONV_00046,36840,2025-02-10 02:19:58,233.59,Completed
CONV_00047,81530,2025-02-10 02:21:50,359.64,Completed
CONV_00048,92785,2025-02-10 02:31:24,375.76,Completed
CONV_00049,34938,2025-02-10 02:32:43,156.84,Completed
CONV_00050,25617,2025-02-10 02:32:51,631.6,Completed
CONV_00051,69847,2025-02-10 02:33:14,513.96,Completed
CONV_00052,91357,2025-02-10 02:36:47,613.4,Completed
CONV_00053,62697,2025-02-10 02:37:26,586.37,Completed
CONV_00054,45053,2025-02-10 02:40:19,406.73,Completed
CONV_00055,49456,2025-02-10 02:40:58,602.73,Completed
CONV_00056,73654,2025-02-10 02:42:04,98.54,Completed
CONV_00057,61177,2025-02-10 02:46:26,163.57,Completed
CONV_00058,33975,2025-02-10 02:46:59,72.36,Completed
CONV_00059,10271,2025-02-10 02:48:29,241.82,Completed
CONV_00060,55808,2025-02-10 02:50:57,280.15,Completed
CONV_00061,98411,2025-02-10 02:51:09,209.17,Completed
CONV_00062,27513,2025-02-10 02:52:19,546.39,Completed
CONV_00063,29679,2025-02-10 02:56:10,260.84,Completed
CONV_00064,72577,2025-02-10 02:56:14,214.97,Completed
CONV_00065,43218,2025-02-10 02:57:50,373.33,Completed
CONV_00066,62478,2025-02-10 03:00:21,130.26,Completed
CONV_00067,69248,2025-02-10 03:02:03,530.33,Completed
