log_id,User ID,Timestamp,Channel,Campaign
LOG_000000,83281,2025-02-10 07:58:51,Email,New Product Launch
LOG_000001,68071,2025-02-10 23:38:48,Search Ads,Winter Sale
LOG_000002,90131,2025-02-11 10:41:07,Social Media,Brand Awareness
LOG_000003,71026,2025-02-10 08:19:44,Direct Traffic,Organic_Direct
LOG_000004,94486,2025-02-10 15:15:46,Email,Retargeting
LOG_000005,31134,2025-02-11 06:43:06,Search Ads,Organic_Direct
LOG_000006,99995,2025-02-10 06:15:30,Search Ads,Organic_Direct
LOG_000007,45832,2025-02-11 01:09:27,Referral,Winter Sale
LOG_000008,79863,2025-02-10 06:48:56,Display Ads,Discount Offer
LOG_000009,35324,2025-02-10 21:36:24,Direct Traffic,Organic_Direct
LOG_000010,50905,2025-02-11 22:04:52,Social Media,Brand Awareness
LOG_000011,82798,2025-02-10 08:57:09,Display Ads,New Product Launch
LOG_000012,53313,2025-02-10 14:45:33,Social Media,Brand Awareness
LOG_000013,59109,2025-02-10 14:18:50,Display Ads,Brand Awareness
LOG_000014,72045,2025-02-11 18:39:11,Referral,Retargeting
LOG_000015,91019,2025-02-10 04:28:34,Email,Winter Sale
LOG_000016,78241,2025-02-11 11:24:51,Display Ads,Brand Awareness
LOG_000017,71565,2025-02-11 17:24:00,Email,Retargeting
LOG_000018,60684,2025-02-10 01:31:38,Email,Organic_Direct
LOG_000019,28998,2025-02-11 11:15:57,Direct Traffic,Organic_Direct
LOG_000020,39795,2025-02-11 22:31:29,Display Ads,New Product Launch
LOG_000021,83286,2025-02-11 16:16:07,Social Media,Discount Offer
LOG_000022,62862,2025-02-11 02:10:56,Referral,Discount Offer
LOG_000023,20507,2025-02-11 12:49:41,Email,Discount Offer
LOG_000024,28295,2025-02-11 14:52:26,Social Media,New Product Launch
LOG_000025,96523,2025-02-10 20:39:45,Social Media,Brand Awareness
LOG_000026,30910,2025-02-11 02:03:43,Referral,Discount Offer
LOG_000027,78262,2025-02-11 17:34:39,Referral,Brand Awareness
LOG_000028,37903,2025-02-10 18:20:15,Search Ads,Retargeting
LOG_000029,22684,2025-02-11 17:40:59,Direct Traffic,Organic_Direct
LOG_000030,14396,2025-02-10 00:29:52,Social Media,Discount Offer
LOG_000031,31679,2025-02-11 16:14:27,Email,Brand Awareness
LOG_000032,73216,2025-02-10 16:07:32,Email,Organic_Direct
LOG_000033,34551,2025-02-10 15:55:07,Referral,Discount Offer
LOG_000034,20513,2025-02-11 07:12:26,Search Ads,Organic_Direct
LOG_000035,78925,2025-02-10 02:27:13,Social Media,Retargeting
LOG_000036,30845,2025-02-11 15:43:26,Email,Retargeting
LOG_000037,27437,2025-02-11 10:47:29,Direct Traffic,Organic_Direct
LOG_000038,17566,2025-02-10 14:33:24,Search Ads,Brand Awareness
LOG_000039,61019,2025-02-10 20:23:23,Referral,Brand Awareness
LOG_000040,96237,2025-02-10 18:57:31,Email,Winter Sale
LOG_000041,93014,2025-02-11 15:51:03,Search Ads,Organic_Direct
LOG_000042,81371,2025-02-10 04:28:11,Search Ads,Brand Awareness
LOG_000043,76909,2025-02-11 02:40:05,Display Ads,Retargeting
LOG_000044,29914,2025-02-11 02:00:11,Display Ads,Retargeting
LOG_000045,33255,2025-02-11 08:10:31,Email,Organic_Direct
LOG_000046,32685,2025-02-10 22:59:07,Referral,Winter Sale
LOG_000047,28171,2025-02-11 10:26:35,Email,Organic_Direct
LOG_000048,32391,2025-02-10 17:20:03,Email,Brand Awareness
LOG_000049,82495,2025-02-10 01:32:50,Direct Traffic,Organic_Direct
LOG_000050,55755,2025-02-11 16:42:31,Display Ads,Brand Awareness
LOG_000051,94548,2025-02-11 03:33:54,Direct Traffic,Organic_Direct
LOG_000052,89180,2025-02-10 01:11:40,Direct Traffic,Organic_Direct
LOG_000053,72532,2025-02-10 14:00:29,Search Ads,Organic_Direct
LOG_000054,53707,2025-02-10 04:51:48,Referral,Retargeting
LOG_000055,57726,2025-02-11 20:24:10,Direct Traffic,Organic_Direct
LOG_000056,90253,2025-02-10 03:11:16,Direct Traffic,Organic_Direct
LOG_000057,57564,2025-02-10 05:37:37,Direct Traffic,Organic_Direct
LOG_000058,29113,2025-02-10 04:09:23,Direct Traffic,Organic_Direct
LOG_000059,94722,2025-02-10 14:02:09,Referral,Organic_Direct
LOG_000060,62079,2025-02-10 10:24:17,Email,Winter Sale
LOG_000061,63416,2025-02-10 10:38:06,Display Ads,Discount Offer
LOG_000062,89732,2025-02-10 09:27:51,Referral,Discount Offer
LOG_000063,15395,2025-02-11 07:00:01,Referral,Brand Awareness
LOG_000064,33578,2025-02-11 06:49:10,Referral,Retargeting
LOG_000065,57627,2025-02-11 23:05:41,Display Ads,Organic_Direct
LOG_000066,92974,2025-02-11 04:58:34,Social Media,Discount Offer
LOG_000067,23599,2025-02-11 05:59:35,Direct Traffic,Organic_Direct
LOG_000068,17614,2025-02-10 19:07:42,Search Ads,Retargeting
LOG_000069,15491,2025-02-10 16:33:03,Social Media,Retargeting
LOG_000070,69460,2025-02-10 16:55:36,Search Ads,Winter Sale
LOG_000071,35837,2025-02-11 04:46:49,Social Media,Organic_Direct
LOG_000072,64703,2025-02-10 00:09:06,Referral,Retargeting
LOG_000073,74876,2025-02-10 14:42:48,Search Ads,Discount Offer
LOG_000074,14398,2025-02-11 15:36:02,Referral,Discount Offer
LOG_000075,73721,2025-02-11 12:51:57,Search Ads,Winter Sale
LOG_000076,89340,2025-02-10 23:25:50,Direct Traffic,Organic_Direct
